Signal,Length (mm),Total Delay (ps),Skew (ps)
D5,66.42,380.80,-7.74
D6,66.69,382.35,-6.19
D7,66.79,382.92,-5.62
D2,66.9,383.55,-4.99
!V7,67.04,384.36,-4.19
A11,67.13,384.87,-3.67
D3,67.17,385.10,-3.44
A14,67.18,385.16,-3.38
D4,67.21,385.33,-3.21
A13,67.29,385.79,-2.75
A5,67.29,385.79,-2.75
A15,67.29,385.79,-2.75
A1,67.38,386.30,-2.24
A6,67.4,386.42,-2.12
A10,67.4,386.42,-2.12
D0,67.43,386.59,-1.95
A2,67.49,386.94,-1.61
A9,67.51,387.05,-1.49
A7,67.51,387.05,-1.49
A4,67.55,387.28,-1.26
A12,67.55,387.28,-1.26
A0,67.58,387.45,-1.09
D1,67.65,387.85,-0.69
A3,67.66,387.91,-0.63
!NMI,67.77,388.54,0.00
!RD,67.77,388.54,0.00
!WR,67.77,388.54,0.00
A8,67.77,388.54,0.00
A18,67.89,389.23,0.69
A19,68.03,390.03,1.49
!V6,68.42,392.27,3.73
A17,68.56,393.07,4.53
A16,68.7,393.87,5.33
!INH,69.52,398.57,10.03
!V5,70.85,406.20,17.66
!WAIT,71.57,410.33,21.79
!V4,72.23,414.11,25.57
!IOSEL,72.54,415.89,27.35
!FETCH,74.38,426.44,37.90
!V3,74.66,428.04,39.50
!V2,76.04,435.95,47.41
!V1,78.47,449.89,61.35
!V0,79.85,457.80,69.26
!SINT,81.23,465.71,77.17
CLK,87.07,499.19,110.65
!HALT,90.02,516.10,127.56
!BUSAK,93.51,536.11,147.57
!BUSRQ,94.89,544.03,155.48
!CSX,97.32,557.96,169.42
!RST,98.7,565.87,177.33
